model_path,label,sensitivity,specificity,accuracy
Experiments_log/20230810_170121/model_weights_105.pth,SMA,0.09090909090909091,0.9285714285714286,0.56
Experiments_log/20230810_170121/model_weights_105.pth,Non-SMA,0.9285714285714286,0.09090909090909091,0.56
Experiments_log/20230810_170121/model_weights_4.pth,SMA,0.09090909090909091,1.0,0.6
Experiments_log/20230810_170121/model_weights_4.pth,Non-SMA,1.0,0.09090909090909091,0.6
Experiments_log/20230810_170121/model_weights_42.pth,SMA,0.2727272727272727,0.8571428571428571,0.6
Experiments_log/20230810_170121/model_weights_42.pth,Non-SMA,0.8571428571428571,0.2727272727272727,0.6
Experiments_log/20230808_174751/model_weights_21.pth,SMA,0.18181818181818182,0.9285714285714286,0.6
Experiments_log/20230808_174751/model_weights_21.pth,Non-SMA,0.9285714285714286,0.18181818181818182,0.6
Experiments_log/20230808_174751/model_weights_105.pth,SMA,0.0,1.0,0.56
Experiments_log/20230808_174751/model_weights_105.pth,Non-SMA,1.0,0.0,0.56
Experiments_log/20230808_174751/model_weights_4.pth,SMA,0.2727272727272727,0.8571428571428571,0.6
Experiments_log/20230808_174751/model_weights_4.pth,Non-SMA,0.8571428571428571,0.2727272727272727,0.6
Experiments_log/20230808_174751/model_weights_42.pth,SMA,0.45454545454545453,0.6428571428571429,0.56
Experiments_log/20230808_174751/model_weights_42.pth,Non-SMA,0.6428571428571429,0.45454545454545453,0.56
Experiments_log/20230816_033010/model_weights_21.pth,SMA,0.09090909090909091,1.0,0.6
Experiments_log/20230816_033010/model_weights_21.pth,Non-SMA,1.0,0.09090909090909091,0.6
Experiments_log/20230816_033010/model_weights_105.pth,SMA,0.18181818181818182,0.7857142857142857,0.52
Experiments_log/20230816_033010/model_weights_105.pth,Non-SMA,0.7857142857142857,0.18181818181818182,0.52
Experiments_log/20230816_033010/model_weights_4.pth,SMA,0.09090909090909091,1.0,0.6
Experiments_log/20230816_033010/model_weights_4.pth,Non-SMA,1.0,0.09090909090909091,0.6
Experiments_log/20230816_033010/model_weights_42.pth,SMA,0.09090909090909091,1.0,0.6
Experiments_log/20230816_033010/model_weights_42.pth,Non-SMA,1.0,0.09090909090909091,0.6
Experiments_log/20230810_214516/model_weights_21.pth,SMA,0.18181818181818182,0.8571428571428571,0.56
Experiments_log/20230810_214516/model_weights_21.pth,Non-SMA,0.8571428571428571,0.18181818181818182,0.56
Experiments_log/20230810_214516/model_weights_105.pth,SMA,0.09090909090909091,1.0,0.6
Experiments_log/20230810_214516/model_weights_105.pth,Non-SMA,1.0,0.09090909090909091,0.6
Experiments_log/20230810_214516/model_weights_4.pth,SMA,0.45454545454545453,0.6428571428571429,0.56
Experiments_log/20230810_214516/model_weights_4.pth,Non-SMA,0.6428571428571429,0.45454545454545453,0.56
Experiments_log/20230810_214516/model_weights_42.pth,SMA,0.09090909090909091,1.0,0.6
Experiments_log/20230810_214516/model_weights_42.pth,Non-SMA,1.0,0.09090909090909091,0.6
Experiments_log/20230809_175330/model_weights_21.pth,SMA,0.0,1.0,0.56
Experiments_log/20230809_175330/model_weights_21.pth,Non-SMA,1.0,0.0,0.56
Experiments_log/20230809_175330/model_weights_105.pth,SMA,0.0,1.0,0.56
Experiments_log/20230809_175330/model_weights_105.pth,Non-SMA,1.0,0.0,0.56
Experiments_log/20230809_175330/model_weights_4.pth,SMA,0.0,1.0,0.56
Experiments_log/20230809_175330/model_weights_4.pth,Non-SMA,1.0,0.0,0.56
Experiments_log/20230809_175330/model_weights_42.pth,SMA,0.0,1.0,0.56
Experiments_log/20230809_175330/model_weights_42.pth,Non-SMA,1.0,0.0,0.56
Experiments_log/20230814_142319/model_weights_21.pth,SMA,0.09090909090909091,1.0,0.6
Experiments_log/20230814_142319/model_weights_21.pth,Non-SMA,1.0,0.09090909090909091,0.6
Experiments_log/20230814_142319/model_weights_105.pth,SMA,0.0,1.0,0.56
Experiments_log/20230814_142319/model_weights_105.pth,Non-SMA,1.0,0.0,0.56
Experiments_log/20230814_142319/model_weights_4.pth,SMA,0.45454545454545453,0.7857142857142857,0.64
Experiments_log/20230814_142319/model_weights_4.pth,Non-SMA,0.7857142857142857,0.45454545454545453,0.64
Experiments_log/20230814_142319/model_weights_42.pth,SMA,0.09090909090909091,0.9285714285714286,0.56
Experiments_log/20230814_142319/model_weights_42.pth,Non-SMA,0.9285714285714286,0.09090909090909091,0.56
Experiments_log/20230808_203329/model_weights_21.pth,SMA,0.09090909090909091,0.9285714285714286,0.56
Experiments_log/20230808_203329/model_weights_21.pth,Non-SMA,0.9285714285714286,0.09090909090909091,0.56
Experiments_log/20230808_203329/model_weights_105.pth,SMA,0.2727272727272727,0.9285714285714286,0.64
Experiments_log/20230808_203329/model_weights_105.pth,Non-SMA,0.9285714285714286,0.2727272727272727,0.64
Experiments_log/20230808_203329/model_weights_4.pth,SMA,0.8181818181818182,0.21428571428571427,0.48
Experiments_log/20230808_203329/model_weights_4.pth,Non-SMA,0.21428571428571427,0.8181818181818182,0.48
Experiments_log/20230808_203329/model_weights_42.pth,SMA,0.09090909090909091,1.0,0.6
Experiments_log/20230808_203329/model_weights_42.pth,Non-SMA,1.0,0.09090909090909091,0.6
Experiments_log/20230809_151846/model_weights_21.pth,SMA,0.0,1.0,0.56
Experiments_log/20230809_151846/model_weights_21.pth,Non-SMA,1.0,0.0,0.56
Experiments_log/20230809_151846/model_weights_105.pth,SMA,0.09090909090909091,1.0,0.6
Experiments_log/20230809_151846/model_weights_105.pth,Non-SMA,1.0,0.09090909090909091,0.6
Experiments_log/20230809_151846/model_weights_4.pth,SMA,0.0,1.0,0.56
Experiments_log/20230809_151846/model_weights_4.pth,Non-SMA,1.0,0.0,0.56
Experiments_log/20230809_151846/model_weights_42.pth,SMA,0.0,1.0,0.56
Experiments_log/20230809_151846/model_weights_42.pth,Non-SMA,1.0,0.0,0.56
Experiments_log/20230809_200646/model_weights_21.pth,SMA,0.18181818181818182,0.9285714285714286,0.6
Experiments_log/20230809_200646/model_weights_21.pth,Non-SMA,0.9285714285714286,0.18181818181818182,0.6
Experiments_log/20230809_200646/model_weights_105.pth,SMA,0.2727272727272727,1.0,0.68
Experiments_log/20230809_200646/model_weights_105.pth,Non-SMA,1.0,0.2727272727272727,0.68
Experiments_log/20230809_200646/model_weights_4.pth,SMA,0.7272727272727273,0.21428571428571427,0.44
Experiments_log/20230809_200646/model_weights_4.pth,Non-SMA,0.21428571428571427,0.7272727272727273,0.44
Experiments_log/20230809_200646/model_weights_42.pth,SMA,0.09090909090909091,1.0,0.6
Experiments_log/20230809_200646/model_weights_42.pth,Non-SMA,1.0,0.09090909090909091,0.6
Experiments_log/20230815_134145/model_weights_21.pth,SMA,0.36363636363636365,0.5714285714285714,0.48
Experiments_log/20230815_134145/model_weights_21.pth,Non-SMA,0.5714285714285714,0.36363636363636365,0.48
Experiments_log/20230815_134145/model_weights_105.pth,SMA,0.09090909090909091,1.0,0.6
Experiments_log/20230815_134145/model_weights_105.pth,Non-SMA,1.0,0.09090909090909091,0.6
Experiments_log/20230815_134145/model_weights_4.pth,SMA,0.36363636363636365,0.7142857142857143,0.56
Experiments_log/20230815_134145/model_weights_4.pth,Non-SMA,0.7142857142857143,0.36363636363636365,0.56
Experiments_log/20230815_134145/model_weights_42.pth,SMA,0.0,1.0,0.56
Experiments_log/20230815_134145/model_weights_42.pth,Non-SMA,1.0,0.0,0.56
Experiments_log/20230811_024433/model_weights_21.pth,SMA,0.18181818181818182,0.9285714285714286,0.6
Experiments_log/20230811_024433/model_weights_21.pth,Non-SMA,0.9285714285714286,0.18181818181818182,0.6
Experiments_log/20230811_024433/model_weights_105.pth,SMA,0.0,1.0,0.56
Experiments_log/20230811_024433/model_weights_105.pth,Non-SMA,1.0,0.0,0.56
Experiments_log/20230811_024433/model_weights_4.pth,SMA,0.18181818181818182,0.9285714285714286,0.6
Experiments_log/20230811_024433/model_weights_4.pth,Non-SMA,0.9285714285714286,0.18181818181818182,0.6
Experiments_log/20230811_024433/model_weights_42.pth,SMA,0.45454545454545453,0.7857142857142857,0.64
Experiments_log/20230811_024433/model_weights_42.pth,Non-SMA,0.7857142857142857,0.45454545454545453,0.64
